Order_id,Customer_id,Customer_name,Product_id,Product_name,Product_category,Payment_type,Quantity_ordered,Price,Date_and_time_when_order_was_placed,Customer_country,Customer_city,Site_from_where_order_was_placed,Payment_transaction_confirmation_id,Payment_success_or_failure,Reason_for_payment_failure
,,Tiffany Contreras,b685e3dc-d588-4416-9992-46dcac8850be,Blender,Home & Kitchen,Internet Banking,7,273.13,InvalidDate,USA,,www.flipkart.com,,N,
6d6f642e-fc4b-490e-8499-ef36a27e02ec,,Kathleen Brown,aa650360-8f3c-43c8-9e63-229d03ab484c,Eraser,Stationery,Card,1,964.68,InvalidDate,UK,Espinozachester,www.flipkart.com,ef9dc923-b8c8-4298-8e77-7ecfaada42d6,Y,
,08c8de70-9a5f-44c5-8998-2e16159d35d6,Sean Kramer,a0d5eb96-d042-4cc5-b7c2-37a4b2466041,Ruler,Stationery,Internet Banking,5,175.16,2020-05-14 13:20:04,Canada,Palmermouth,www.shopify.com,,N,
,89ba8d87-804b-4d1f-b55c-ac0623959adc,,InvalidID,Notebook,Stationery,Internet Banking,10,-94.1,2024-02-24 13:31:06,USA,,www.amazon.com,bba1a0ce-0c07-40a9-a912-e9bdd6e80f8e,Y,
,72dfd257-4494-4cb6-9692-2f49133fb8e4,Belinda Williams,21e719f0-c2f5-4137-b584-5d35a73c3533,Air Fryer,Home & Kitchen,Internet Banking,10,240.89,InvalidDate,UK,,www.ebay.com,76ec00f6-93a4-40b3-9bf1-86fb2dedbb30,Y,
,,,InvalidID,Microwave,Home & Kitchen,Wallet,3,685.04,InvalidDate,India,,www.ebay.com,7f443f0d-a1ba-4afb-b502-91b35ef30c8c,Y,
,7b62c02f-f35c-4b9d-8e67-35bc856dfc15,,68e259e6-6626-4d39-af03-1edbb1efa2ad,Air Fryer,Home & Kitchen,UPI,0,447.11,InvalidDate,Germany,,www.flipkart.com,aaa63212-f705-456e-92f6-501df264d038,N,
1b063bd6-c6c5-46b0-b993-f57e0134ea9e,b354ed9a-379c-448a-8597-e80a254e5d13,,0b8c0af6-0ef1-4452-9e19-6a76fd4cbf6a,Jeans,Clothing,Internet Banking,-5,308.12,InvalidDate,USA,Wadefurt,www.walmart.com,e6950b2d-4067-4032-8d0a-d8b962ddcc45,N,Invalid CVV
,e332cc0a-04aa-4cd7-9193-65af33329173,,9e0cd1f3-64d9-4563-8bde-a083ac310055,Tennis Racket,Sports,Internet Banking,2,196.81,2022-05-04 01:11:30,India,,www.flipkart.com,,Y,
a4ce8068-68a5-4bd1-8ce1-059077decaa8,bf0b7aea-f1ec-4ec6-91db-4844c15a95f1,Alex Dixon,3542691b-0c01-407e-b019-d73a67865767,Jeans,Clothing,Internet Banking,1,785.62,InvalidDate,Germany,Brownberg,www.shopify.com,ebca8223-bfc0-4967-80f7-87cbc409337f,N,Insufficient funds
,df421e23-728f-436e-bb97-6254df407131,,InvalidID,Book,Stationery,Card,9,33.29,InvalidDate,Germany,Lake Stephanie,www.ebay.com,4fff2303-1ec7-42c2-9294-d1291d41d6da,N,
8a343bfd-6ddb-44b7-8a3a-9afa36c24df0,f734e83c-eaf9-45e2-9a19-827b62b06a37,Molly Kelley,InvalidID,Sweater,Clothing,UPI,-3,79.4,InvalidDate,India,,www.shopify.com,281dacf7-ee69-4e84-82e8-f7836423cb03,Y,
